GroupName;Scope;Type;Location;Descriptions
M365-AAD-CA_SSPR-Users;Universal;Security;OnPrem;Members will be enabled for SelfServicePassword Reset and gets default Authentication options
M365-AAD-CA_DRAllowed-Users;Universal;Security;OnPrem;Members are able to Register Devices
M365-AAD-CA_LocalAdmin-Users;Universal;Security;OnPrem; Members are local admin user on their devices
M365-AAD-AP_TAP-Users;Universal;Security;OnPrem;Members will be enabled for use Temporary Access Pass in Azure AD Authentication Policy Settings
M365-AAD-AP_FIDO-Users;Universal;Security;OnPrem;Members will be enabled for use FIDO in Azure AD Authentication Policy Settings
M365-AAD-AP_MSAuthenticator-Users;Universal;Security;OnPrem;Members will be enabled for use Microsoft Authenticator in Azure AD Authentication Policy Settings
M365-AAD-AP_SMS-Users;Universal;Security;OnPrem;Members will be enabled for use SMS in Azure AD Authentication Policy Settings
M365-AAD-AP_HardwareOAUTH-Users;Universal;Security;OnPrem;Members will be enabled for use Hardware Token in Azure AD Authentication Policy Settings
M365-AAD-AP_3rdPartyOAUTH-Users;Universal;Security;OnPrem;Members will be enabled for use 3rd Party Software Token in Azure AD Authentication Policy Settings
M365-AAD-AP_Voicecall-Users;Universal;Security;OnPrem;Members will be enabled for use Voicecalls in Azure AD Authentication Policy Settings
M365-AAD-AP_EmailOTP-Users;Universal;Security;OnPrem;Members will be enabled for use Email OTP in Azure AD Authentication Policy Settings
M365-AAD-AP_CBA-Users;Universal;Security;OnPrem;Members will be enabled for use Certificate Based Authentication in Azure AD Authentication Policy Settings
